호선,역이름,무임승하차비율,무임승하차,유임승하차,출퇴근시간 이용객수,출퇴근시간 제외한 이용객수 ,역간거리(km),지역,행정동,노인인구비율,노인인구수,평균연령,인구수(사분위수),인구밀도 (명/㎢),지역별통근인원비율(12세 이상),지역내총생산(2016)(백만원),자치구별 재난지원금 대상자 비율 ,석유사용량(bbl),교통안전지수,자동차수,통근 통학시 지하철 이용 비율,250m내 버스정류장 수,자치구별 지하철역 개수,자동차세,재산세,지방소득세(2020),지역별 기초수급자 비율,차 1대당 석유사용량,"2020 세금평균(자동차, 재산,지방소득)"
7호선,노원,17.88068904,220483.7849,1012599.484,345084.7802,893264.6154,1.2,노원구,상계동,0.173606444,4578.375,44.675,4,"14,530",0.614545455,"5,292,768",82,58734.25297,78.86,152486,48.4,10,16,"28,307","67,094","48,330",0.002483,0.3852,47910
7호선,논현,8.46224358,96882.75268,1047999.828,405847.7473,749764.033,1,강남구,논현1동,0.200983944,"2,975",42.5,3,"13,616",0.660353369,"59,981,514",45.2,184499.0193,67.52,247069,30.4,10,33,"54,479","612,630","1,317,569",0.0017256,0.7468,661559
7호선,대림(구로구청),10.77060358,67382.83435,558235.1621,173644.8333,446263.1095,1.4,영등포구,대림동,0.184977665,3950,47.6,3,"16,331",0.644943875,"27,701,698",72.6,183681.3439,75.22,145699,46.6,11,19,"27,663","144,087","649,609",0.0017693,1.2607,273786
7호선,도봉산,17.32631277,104616.4516,499184.5592,199520.5934,413157.3297,1.4,도봉구,도봉동,0.26431,"5,861",50.6,3,"15,465",0.593927881,"2,816,851",85.5,48513.31047,81.56,95742,37.9,6,8,"16,931","38,371","27,577",0.0051843,0.5067,27626
7호선,뚝섬유원지,15.12477683,81799.02151,459028.9355,163846.4615,371972.8352,1,광진구,자양3동,0.155367131,"4,361",42.9,2,"20,666",0.650722907,"5,970,256",76.9,64470.5604,83,99327,35.7,2,11,"18,753","74,985","75,468",0.0010977,0.6491,56402
7호선,마들,21.91722181,148620.8602,529479.957,227635.9451,451433.1648,1.4,노원구,"상계8,9,10동",0.153576684,3123.666667,42.63333333,4,"14,530",0.614545455,"5,292,768",82,58734.25297,78.86,152486,48.4,11,16,"28,307","67,094","48,330",0.0008718,0.3852,47910
7호선,먹골,19.53285277,116722.8065,480848.9247,196552.2967,400848.033,0.9,중랑구,묵동,0.18559133,4872.5,45.1,3,"21,188",0.601979734,"4,013,154",87.6,60552.00829,79.16,115462,38,9,16,"18,874","47,738","32,233",0.0031093,0.5244,32948
7호선,면목,19.01868476,172966.3979,736488.6989,307681.4725,599711.033,0.8,중랑구,면목본동,0.183112233,"6,239",46.1,3,"21,188",0.601979734,"4,013,154",87.6,60552.00829,79.16,115462,38,11,16,"18,874","47,738","32,233",0.0066788,0.5244,32948
7호선,반포,16.9724127,60867.63441,297759.2473,113028,242979.2527,0.9,서초구,잠원동,0.127005447,"3,404",41.2,2,"8,858",0.669376204,"29,493,607",45.2,141363.4971,77.1,176544,31.5,2,19,"41,774","361,958","671,136",0.0006475,0.8007,358289
7호선,보라매,15.07533397,82346.32258,463885.8387,202919.967,344362.6264,0.8,동작구,대방동,0.155116725,"5,907",42.5,3,"16,331",0.644943875,"27,701,698",72.6,183681.3439,75.22,145699,46.6,10,19,"21,743","83,726","73,671",0.003914,1.2607,59713
7호선,사가정,19.67198992,181742.4731,742121.7312,304379.1429,622972.9341,0.9,중랑구,면목동,0.203259515,4761.5,46.9,3,"21,188",0.601979734,"4,013,154",87.6,60552.00829,79.16,115462,38,10,16,"18,874","47,738","32,233",0.0040849,0.5244,32948
7호선,상도,17.16218887,109612.0215,529071.2043,206042.2198,428490.1319,0.9,동작구,상도2동,0.155122783,"4,365",42.2,3,"24,113",0.637999816,"5,184,807",73.5,30228.83056,78.71,106503,43.3,15,17,"21,743","83,726","73,671",0.001345,0.2838,59713
7호선,상봉(시외버스터미널),13.48472121,134595.2307,863536.126,329415.2738,670667.5357,1,중랑구,상봉동,0.156254779,3489,43.65,3,"21,188",0.601979734,"4,013,154",87.6,60552.00829,79.16,115462,38,5,16,"18,874","47,738","32,233",0.0037036,0.5244,32948
7호선,수락산,22.27097628,174127.4409,607730.699,243350.3846,544420.9341,1.6,노원구,상계1동,0.192457395,"7,318",45.7,4,"14,530",0.614545455,"5,292,768",82,58734.25297,78.86,152486,48.4,10,16,"28,307","67,094","48,330",0.0037862,0.3852,47910
7호선,숭실대입구(살피재),13.03776008,115370.2934,769523.2212,278289.2548,607835.3571,2,동작구,상도1동,0.156563235,"7,185",42.3,3,"24,113",0.637999816,"5,184,807",73.5,30228.83056,78.71,106503,43.3,5,17,"21,743","83,726","73,671",0.0031719,0.2838,59713
7호선,신대방삼거리,18.84799365,174309.871,750509.3656,319058.2857,598008.6154,1.2,동작구,대방동,0.155116725,"5,907",42.5,3,"24,113",0.637999816,"5,184,807",73.5,30228.83056,78.71,106503,43.3,11,17,"21,743","83,726","73,671",0.003914,0.2838,59713
7호선,신풍,19.7809008,128665.8817,521789.2366,223010.2088,430014.4396,0.9,영등포구,신길동,0.173379414,2657.666667,44.9,3,"16,331",0.644943875,"27,701,698",72.6,183681.3439,75.22,145699,46.6,11,19,"27,663","144,087","649,609",0.0014996,1.2607,273786
7호선,어린이대공원(세종대),9.19229129,85274.88615,842403.3549,271722.5381,654013.4381,1.1,광진구,능동,0.143323315,"1,669",42.3,2,"20,666",0.650722907,"5,970,256",76.9,64470.5604,83,99327,35.7,4,11,"18,753","74,985","75,468",0.0011034,0.6491,56402
7호선,온수(성공회대입구),10.99533005,67344.65121,545139.4753,231999.8143,379435.6857,1.5,구로구,수궁동,0.193858047,"4,564",45.4,3,"20,933",0.630238761,"11,964,909",84.2,82654.40333,78.13,145961,39.6,9,13,"25,689","72,886","111,685",0.0021843,0.5663,70087
7호선,용마산(용마폭포공원),20.0809303,68476.74031,272527.0841,118190.1435,223632.819,0.8,중랑구,면목4동,0.202293674,"3,863",46.4,3,"21,188",0.601979734,"4,013,154",87.6,60552.00829,79.16,115462,38,4,16,"18,874","47,738","32,233",0.0047514,0.5244,32948
7호선,이수,15.27308027,144216.5269,800036.5269,296779.2088,648595.9231,0.9,동작구,"사당1,2동",0.180276839,4745,44.3,3,"24,113",0.637999816,"5,184,807",73.5,30228.83056,78.71,106503,43.3,11,17,"21,743","83,726","73,671",0.0017689,0.2838,59713
7호선,장승배기,23.41915645,140654.4086,459941.129,195856.2967,402514.2857,0.9,동작구,상도2동,0.155122783,"4,365",42.2,3,"24,113",0.637999816,"5,184,807",73.5,30228.83056,78.71,106503,43.3,13,17,"21,743","83,726","73,671",0.001345,0.2838,59713
7호선,중계,20.47668343,173421.5699,673500.5914,292206.7582,555570.978,1.1,노원구,"중계2,3동",0.222431891,"7,544",46.7,4,"14,530",0.614545455,"5,292,768",82,58734.25297,78.86,152486,48.4,8,16,"28,307","67,094","48,330",0.0097633,0.3852,47910
